profile,follower
69482,830718
69482,1019892
71796,10612717
72058,210833
71796,35835530
72058,263685
69482,1393304
71517,121909631
72058,350271
72058,448374
69482,1893014
72058,514033
71591,91262301
69482,2048563
73503,1023706
72058,647980
73503,1203681
71591,142926112
73941,74111
73941,85746
72058,2434403
72828,23668346
74458,109794
73503,261567835
72828,26825996
73931,16052187
72058,6938819
73931,27146662
73569,12954047
73941,366031
74458,4100826
72058,11936171
72058,25740092
74458,4317221
73941,979655
73941,1045007
66576,114320101
73941,2949047
73941,4545659
69482,6647579
69482,6777395
74458,83951188
74458,169490999
74111,88231
73941,10470796
74111,92380
69482,9202611
73941,20685972
69482,10332778
73941,32759424
73941,34423808
73941,50777278
74111,138980
73941,63686494
73941,74947059
73941,78252598
73941,103654678
73941,105363226
73941,118246666
73941,148413474
66576,159860370
75276,81421
75440,138980
75150,111390
74111,199821
75443,213320
75443,216977
69482,19558249
76332,98196
76332,136978
75440,539996
75443,444982
75883,114575
75150,17857327
76344,1855456
76332,285211
76344,2586437
74970,171459
76973,82522
75440,1558730
76973,152889
76973,202911
76540,634757
76973,312978
76344,6621600
76973,377426
76540,1036074
74111,295770
74622,1808766
74111,303341
74111,308118
74622,2839453
75443,9077854
76973,447692
76973,456551
76973,484180
74622,4096916
76973,502945
74622,4380356
76540,1769038
76973,589542
76916,117909
76916,150331
76916,189699
74111,388785
76973,848107
76540,4017803
69482,74947059
76973,972870
76540,4459185
76973,991268
76916,366399
76916,397415
76973,1154228
76540,5788268
76344,23668346
76916,480602
74622,17621401
74970,29384904
76916,607609
76916,647966
74622,22299716
77004,419531
76916,760565
76916,965561
76973,1171466
76973,1211514
76973,1358636
74622,150524054
76973,1369444
76916,1075358
76973,1482917
76540,31533884
76973,1706728
76916,1621534
76916,1675078
76916,2007115
76973,2374452
76973,2868363
76916,2818602
74111,705167
76973,4477670
78385,79047
76973,5854229
76916,5564561
76973,6585141
76916,6198355
76973,7908736
76973,10297817
76916,9026668
76973,15584160
77584,124688
77104,178218
76973,32865690
76973,36009947
76916,19397413
76916,20421143
76973,45661392
76973,47429324
77104,297590
76973,89359193
76916,52186261
76916,54478450
76973,202600333
76916,74947059
77104,885165
74111,832436
77726,179607
